,GAME_ID,TEAM_ID,TEAM_NAME,TEAM_ABBREVIATION,TEAM_CITY,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,PLUS_MINUS
0,0042400403,1610612760,Thunder,OKC,Oklahoma City,240.000000:00,37,79,0.468,10,22,0.455,23,30,0.767,9,33,42,16,6,4,17,20,107,-9.0
1,0042400403,1610612754,Pacers,IND,Indiana,240.000000:00,44,85,0.518,9,27,0.333,19,22,0.864,7,29,36,24,13,11,13,24,116,9.0
