,GAME_ID,TEAM_ID,TEAM_NAME,TEAM_ABBREVIATION,TEAM_CITY,MIN,EFG_PCT,FTA_RATE,TM_TOV_PCT,OREB_PCT,OPP_EFG_PCT,OPP_FTA_RATE,OPP_TOV_PCT,OPP_OREB_PCT
0,0042400403,1610612760,Thunder,OKC,Oklahoma City,240.000000:00,0.532,0.38,0.186,0.2,0.571,0.259,0.138,0.227
1,0042400403,1610612754,Pacers,IND,Indiana,240.000000:00,0.571,0.259,0.138,0.159,0.532,0.38,0.186,0.311
