"game_id","team_id","team_name","pts","fgm","fga","fg_pct","fg3m","fg3a","fg3_pct","ftm","fta","ft_pct","oreb","dreb","reb","ast","tov","stl","blk","pf","time_collected"
"0042400401","1610612760","Thunder",47,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,5,3,8,2,NULL,"2025-06-05 21:31:12.590193"
"0042400401","1610612754","Pacers",37,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,7,15,0,3,NULL,"2025-06-05 21:31:12.590193"
"0042400401","1610612760","Thunder",47,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,5,3,8,2,NULL,"2025-06-05 21:31:42.926472"
"0042400401","1610612754","Pacers",37,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,7,15,0,3,NULL,"2025-06-05 21:31:42.926472"
"0042400401","1610612760","Thunder",47,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,5,3,8,2,NULL,"2025-06-05 21:32:13.217335"
"0042400401","1610612754","Pacers",37,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,7,15,0,3,NULL,"2025-06-05 21:32:13.217335"
"0042400401","1610612760","Thunder",47,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,5,3,8,2,NULL,"2025-06-05 21:32:43.915933"
"0042400401","1610612754","Pacers",37,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,7,15,0,3,NULL,"2025-06-05 21:32:43.915933"
"0042400401","1610612760","Thunder",47,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,5,3,8,2,NULL,"2025-06-05 21:33:14.364065"
"0042400401","1610612754","Pacers",37,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,7,15,0,3,NULL,"2025-06-05 21:33:14.364065"
"0042400401","1610612760","Thunder",47,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,5,3,8,2,NULL,"2025-06-05 21:33:44.677564"
"0042400401","1610612754","Pacers",37,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,7,15,0,3,NULL,"2025-06-05 21:33:44.677564"
"0042400401","1610612760","Thunder",47,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,5,3,8,3,NULL,"2025-06-05 21:34:15.028938"
"0042400401","1610612754","Pacers",37,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,7,15,0,3,NULL,"2025-06-05 21:34:15.028938"
"0042400401","1610612760","Thunder",47,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,5,4,9,2,NULL,"2025-06-05 21:34:45.390431"
"0042400401","1610612754","Pacers",37,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,7,16,0,3,NULL,"2025-06-05 21:34:45.390431"
"0042400401","1610612760","Thunder",47,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,5,4,9,2,NULL,"2025-06-05 21:35:15.731865"
"0042400401","1610612754","Pacers",37,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,7,16,0,3,NULL,"2025-06-05 21:35:15.731865"
"0042400401","1610612760","Thunder",47,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,5,4,10,2,NULL,"2025-06-05 21:35:46.07978"
"0042400401","1610612754","Pacers",37,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,7,17,0,3,NULL,"2025-06-05 21:35:46.07978"
"0042400401","1610612760","Thunder",50,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,6,4,11,2,NULL,"2025-06-05 21:36:16.489157"
"0042400401","1610612754","Pacers",37,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,7,18,0,3,NULL,"2025-06-05 21:36:16.489157"
"0042400401","1610612760","Thunder",52,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,6,4,11,2,NULL,"2025-06-05 21:36:46.9423"
"0042400401","1610612754","Pacers",40,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,8,18,0,3,NULL,"2025-06-05 21:36:46.9423"
"0042400401","1610612760","Thunder",54,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,6,4,11,2,NULL,"2025-06-05 21:37:17.279287"
"0042400401","1610612754","Pacers",43,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,9,18,0,3,NULL,"2025-06-05 21:37:17.279287"
"0042400401","1610612760","Thunder",54,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,6,4,11,2,NULL,"2025-06-05 21:37:47.641393"
"0042400401","1610612754","Pacers",45,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,10,18,0,3,NULL,"2025-06-05 21:37:47.641393"
"0042400401","1610612760","Thunder",57,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,7,4,11,3,NULL,"2025-06-05 21:38:17.956138"
"0042400401","1610612754","Pacers",45,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,10,18,0,3,NULL,"2025-06-05 21:38:17.956138"
"0042400401","1610612760","Thunder",57,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,7,4,11,3,NULL,"2025-06-05 21:38:48.305705"
"0042400401","1610612754","Pacers",45,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,10,18,0,3,NULL,"2025-06-05 21:38:48.305705"
"0042400401","1610612760","Thunder",57,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,7,4,11,4,NULL,"2025-06-05 21:39:18.646183"
"0042400401","1610612754","Pacers",45,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,10,18,0,4,NULL,"2025-06-05 21:39:18.646183"
"0042400401","1610612760","Thunder",57,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,7,4,11,4,NULL,"2025-06-05 21:39:48.93818"
"0042400401","1610612754","Pacers",45,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,10,18,0,4,NULL,"2025-06-05 21:39:48.93818"
"0042400401","1610612760","Thunder",57,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,7,4,11,4,NULL,"2025-06-05 21:40:19.258614"
"0042400401","1610612754","Pacers",45,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,10,18,0,4,NULL,"2025-06-05 21:40:19.258614"
"0042400401","1610612760","Thunder",57,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,7,4,11,4,NULL,"2025-06-05 21:40:50.812146"
"0042400401","1610612754","Pacers",45,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,10,18,0,4,NULL,"2025-06-05 21:40:50.812146"
"0042400401","1610612760","Thunder",57,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,7,4,11,4,NULL,"2025-06-05 21:41:21.89694"
"0042400401","1610612754","Pacers",45,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,10,18,0,4,NULL,"2025-06-05 21:41:21.89694"
"0042400401","1610612760","Thunder",57,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,7,4,11,4,NULL,"2025-06-05 21:41:52.352532"
"0042400401","1610612754","Pacers",45,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,10,18,0,4,NULL,"2025-06-05 21:41:52.352532"
"0042400401","1610612760","Thunder",57,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,7,4,11,4,NULL,"2025-06-05 21:42:22.725538"
"0042400401","1610612754","Pacers",45,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,10,18,0,4,NULL,"2025-06-05 21:42:22.725538"
"0042400401","1610612760","Thunder",57,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,7,4,11,4,NULL,"2025-06-05 21:42:53.186085"
"0042400401","1610612754","Pacers",45,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,10,18,0,4,NULL,"2025-06-05 21:42:53.186085"
"0042400401","1610612760","Thunder",57,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,7,4,11,4,NULL,"2025-06-05 21:43:23.544563"
"0042400401","1610612754","Pacers",45,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,10,18,0,4,NULL,"2025-06-05 21:43:23.544563"
"0042400401","1610612760","Thunder",57,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,7,4,11,4,NULL,"2025-06-05 21:43:53.973273"
"0042400401","1610612754","Pacers",45,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,10,18,0,4,NULL,"2025-06-05 21:43:53.973273"
"0042400401","1610612760","Thunder",57,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,7,4,11,4,NULL,"2025-06-05 21:44:24.595913"
"0042400401","1610612754","Pacers",45,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,10,18,0,4,NULL,"2025-06-05 21:44:24.595913"
"0042400401","1610612760","Thunder",57,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,7,4,11,4,NULL,"2025-06-05 21:44:55.010415"
"0042400401","1610612754","Pacers",45,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,10,18,0,4,NULL,"2025-06-05 21:44:55.010415"
"0042400401","1610612760","Thunder",57,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,7,4,11,4,NULL,"2025-06-05 21:45:25.326607"
"0042400401","1610612754","Pacers",45,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,10,18,0,4,NULL,"2025-06-05 21:45:25.326607"
"0042400401","1610612760","Thunder",57,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,7,4,11,4,NULL,"2025-06-05 21:45:55.685932"
"0042400401","1610612754","Pacers",45,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,10,18,0,4,NULL,"2025-06-05 21:45:55.685932"
"0042400401","1610612760","Thunder",57,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,7,4,11,4,NULL,"2025-06-05 21:46:26.204739"
"0042400401","1610612754","Pacers",45,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,10,18,0,4,NULL,"2025-06-05 21:46:26.204739"
"0042400401","1610612760","Thunder",57,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,7,4,11,4,NULL,"2025-06-05 21:46:56.630042"
"0042400401","1610612754","Pacers",45,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,10,18,0,4,NULL,"2025-06-05 21:46:56.630042"
"0042400401","1610612760","Thunder",57,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,7,4,11,4,NULL,"2025-06-05 21:47:27.086857"
"0042400401","1610612754","Pacers",45,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,10,18,0,4,NULL,"2025-06-05 21:47:27.086857"
"0042400401","1610612760","Thunder",57,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,7,4,11,4,NULL,"2025-06-05 21:47:57.541767"
"0042400401","1610612754","Pacers",45,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,10,18,0,4,NULL,"2025-06-05 21:47:57.541767"
"0042400401","1610612760","Thunder",57,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,7,4,11,4,NULL,"2025-06-05 21:48:28.560721"
"0042400401","1610612754","Pacers",45,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,10,18,0,4,NULL,"2025-06-05 21:48:28.560721"
"0042400401","1610612760","Thunder",57,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,7,4,11,4,NULL,"2025-06-05 21:48:59.011019"
"0042400401","1610612754","Pacers",45,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,10,18,0,4,NULL,"2025-06-05 21:48:59.011019"
"0042400401","1610612760","Thunder",57,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,7,4,11,4,NULL,"2025-06-05 21:49:29.364908"
"0042400401","1610612754","Pacers",45,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,10,18,0,4,NULL,"2025-06-05 21:49:29.364908"
"0042400401","1610612760","Thunder",57,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,7,4,11,4,NULL,"2025-06-05 21:49:59.741153"
