"game_id","player_id","player_name","team_id","min","pts","reb","ast","fg_pct","fg3_pct","ft_pct","plus_minus","usg_pct","ts_pct","time_collected"
"0042400401","1630198","Isaiah Joe",NULL,"PT04M33.97S",2,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,"2025-06-05 21:22:20.386564"
"0042400401","1630598","Aaron Wiggins",NULL,"PT05M08.99S",2,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,"2025-06-05 21:22:20.386564"
"0042400401","1629026","Kenrich Williams",NULL,"PT00M39.01S",0,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,"2025-06-05 21:22:20.386564"
"0042400401","1642349","Ajay Mitchell",NULL,"PT04M10.00S",0,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,"2025-06-05 21:22:20.386564"
"0042400401","1631172","Ousmane Dieng",NULL,"PT00M00.00S",0,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,"2025-06-05 21:22:20.386564"
"0042400401","1641794","Dillon Jones",NULL,"PT00M00.00S",0,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,"2025-06-05 21:22:20.386564"
"0042400401","1631119","Jaylin Williams",NULL,"PT00M00.00S",0,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,"2025-06-05 21:22:20.386564"
"0042400401","1642260","Nikola Topić",NULL,"PT00M00.00S",0,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,"2025-06-05 21:22:20.386564"
"0042400401","1630174","Aaron Nesmith",NULL,"PT08M39.03S",0,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,"2025-06-05 21:22:20.386564"
"0042400401","1627783","Pascal Siakam",NULL,"PT13M07.00S",6,NULL,2,NULL,NULL,NULL,NULL,NULL,NULL,"2025-06-05 21:22:20.386564"
"0042400401","1626167","Myles Turner",NULL,"PT09M41.00S",5,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,"2025-06-05 21:22:20.386564"
"0042400401","1629614","Andrew Nembhard",NULL,"PT10M03.97S",3,NULL,1,NULL,NULL,NULL,NULL,NULL,NULL,"2025-06-05 21:22:20.386564"
"0042400401","1630169","Tyrese Haliburton",NULL,"PT10M47.03S",6,NULL,1,NULL,NULL,NULL,NULL,NULL,NULL,"2025-06-05 21:22:20.386564"
