,GAME_ID,TEAM_ID,TEAM_NAME,TEAM_ABBREVIATION,TEAM_CITY,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,PLUS_MINUS
0,0042400402,1610612760,Thunder,OKC,Oklahoma City,240.000000:00,40,82,0.488,14,36,0.389,29,33,0.879,11,32,43,25,10,4,13,20,123,16.0
1,0042400402,1610612754,Pacers,IND,Indiana,240.000000:00,37,82,0.451,14,40,0.35,19,26,0.731,7,28,35,27,9,6,15,25,107,-16.0
