GAME_ID,TEAM_ID,TEAM_ABBREVIATION,TEAM_CITY,PLAYER_ID,PLAYER_NAME,NICKNAME,START_POSITION,COMMENT,MIN,EFG_PCT,FTA_RATE,TM_TOV_PCT,OREB_PCT,OPP_EFG_PCT,OPP_FTA_RATE,OPP_TOV_PCT,OPP_OREB_PCT
0042400404,1610612760,OKC,Oklahoma City,1631114,Jalen Williams,Jalen,F,,35.000000:48,0.491,0.593,0.195,0.231,0.509,0.534,0.142,0.172
0042400404,1610612760,OKC,Oklahoma City,1631096,Chet Holmgren,Chet,F,,37.000000:11,0.484,0.475,0.156,0.29,0.425,0.467,0.116,0.118
0042400404,1610612760,OKC,Oklahoma City,1628392,Isaiah Hartenstein,Isaiah,C,,21.000000:14,0.472,0.5,0.14,0.389,0.625,0.361,0.153,0.2
0042400404,1610612760,OKC,Oklahoma City,1629652,Luguentz Dort,Luguentz,G,,32.000000:35,0.52,0.653,0.179,0.333,0.55,0.52,0.185,0.174
0042400404,1610612760,OKC,Oklahoma City,1628983,Shai Gilgeous-Alexander,Shai,G,,40.000000:09,0.508,0.438,0.153,0.313,0.529,0.362,0.129,0.207
0042400404,1610612760,OKC,Oklahoma City,1627936,Alex Caruso,Alex,,,30.000000:24,0.544,0.6,0.175,0.25,0.459,0.388,0.226,0.261
0042400404,1610612760,OKC,Oklahoma City,1630598,Aaron Wiggins,Aaron,,,8.000000:12,0.5,0.5,0.146,0.333,0.417,0.667,0.292,0.143
0042400404,1610612760,OKC,Oklahoma City,1641717,Cason Wallace,Cason,,,18.000000:37,0.394,0.242,0.16,0.278,0.431,0.25,0.098,0.176
0042400404,1610612760,OKC,Oklahoma City,1630198,Isaiah Joe,Isaiah,,,4.000000:33,0.545,0.182,0.0,0.6,0.556,0.222,0.101,0.25
0042400404,1610612760,OKC,Oklahoma City,1629026,Kenrich Williams,Kenrich,,,11.000000:17,0.476,0.286,0.139,0.5,0.381,0.19,0.126,0.222
0042400404,1610612760,OKC,Oklahoma City,1631172,Ousmane Dieng,Ousmane,,DNP - Coach's Decision,,,,,,,,,
0042400404,1610612760,OKC,Oklahoma City,1641794,Dillon Jones,Dillon,,DNP - Coach's Decision,,,,,,,,,
0042400404,1610612760,OKC,Oklahoma City,1642349,Ajay Mitchell,Ajay,,DNP - Coach's Decision,,,,,,,,,
0042400404,1610612760,OKC,Oklahoma City,1631119,Jaylin Williams,Jaylin,,DNP - Coach's Decision,,,,,,,,,
0042400404,1610612754,IND,Indiana,1630174,Aaron Nesmith,Aaron,F,,30.000000:00,0.48,0.3,0.151,0.261,0.457,0.532,0.138,0.308
0042400404,1610612754,IND,Indiana,1627783,Pascal Siakam,Pascal,F,,35.000000:01,0.5,0.483,0.104,0.138,0.446,0.482,0.169,0.3
0042400404,1610612754,IND,Indiana,1626167,Myles Turner,Myles,C,,30.000000:27,0.541,0.327,0.187,0.2,0.49,0.52,0.103,0.346
0042400404,1610612754,IND,Indiana,1629614,Andrew Nembhard,Andrew,G,,35.000000:52,0.568,0.424,0.132,0.167,0.518,0.473,0.173,0.333
0042400404,1610612754,IND,Indiana,1630169,Tyrese Haliburton,Tyrese,G,,36.000000:27,0.543,0.5,0.176,0.192,0.509,0.571,0.173,0.296
0042400404,1610612754,IND,Indiana,1641767,Ben Sheppard,Ben,,,11.000000:35,0.575,0.0,0.32,0.375,0.55,0.65,0.081,0.375
0042400404,1610612754,IND,Indiana,1630167,Obi Toppin,Obi,,,28.000000:48,0.438,0.438,0.161,0.2,0.585,0.404,0.208,0.333
0042400404,1610612754,IND,Indiana,204456,T.J. McConnell,T.J.,,,17.000000:57,0.359,0.375,0.127,0.158,0.441,0.294,0.173,0.294
0042400404,1610612754,IND,Indiana,1631097,Bennedict Mathurin,Bennedict,,,13.000000:53,0.333,0.75,0.115,0.063,0.44,0.48,0.204,0.273
0042400404,1610612754,IND,Indiana,1628396,Tony Bradley,Tony,,DNP - Coach's Decision,,,,,,,,,
0042400404,1610612754,IND,Indiana,1628418,Thomas Bryant,Thomas,,DNP - Coach's Decision,,,,,,,,,
0042400404,1610612754,IND,Indiana,1642277,Johnny Furphy,Johnny,,DNP - Coach's Decision,,,,,,,,,
0042400404,1610612754,IND,Indiana,1630543,Isaiah Jackson,Isaiah,,DND - Injury/Illness,,,,,,,,,
0042400404,1610612754,IND,Indiana,201949,James Johnson,James,,DNP - Coach's Decision,,,,,,,,,
0042400404,1610612754,IND,Indiana,1641716,Jarace Walker,Jarace,,DND - Injury/Illness,,,,,,,,,
