GAME_ID,TEAM_ID,TEAM_ABBREVIATION,TEAM_CITY,PLAYER_ID,PLAYER_NAME,NICKNAME,START_POSITION,COMMENT,MIN,E_OFF_RATING,OFF_RATING,E_DEF_RATING,DEF_RATING,E_NET_RATING,NET_RATING,AST_PCT,AST_TOV,AST_RATIO,OREB_PCT,DREB_PCT,REB_PCT,TM_TOV_PCT,EFG_PCT,TS_PCT,USG_PCT,E_USG_PCT,E_PACE,PACE,PACE_PER40,POSS,PIE
0042400405,1610612754,IND,Indiana,1630174,Aaron Nesmith,Aaron,F,,24.000000:30,119.1,117.0,134.0,139.6,-14.8,-22.6,0.0,0.0,0.0,0.15,0.136,0.143,18.2,0.778,0.778,0.183,0.186,105.09,103.84,86.53,53,0.069
0042400405,1610612754,IND,Indiana,1627783,Pascal Siakam,Pascal,F,,33.000000:16,114.8,115.7,120.9,121.1,-6.1,-5.4,0.294,0.83,16.7,0.061,0.1,0.082,20.0,0.7,0.756,0.294,0.299,102.21,101.72,84.77,70,0.182
0042400405,1610612754,IND,Indiana,1626167,Myles Turner,Myles,C,,24.000000:41,119.1,122.4,134.8,136.7,-15.6,-14.3,0.063,0.0,11.1,0.063,0.25,0.167,0.0,0.7,0.804,0.148,0.147,97.3,95.27,79.4,49,0.127
0042400405,1610612754,IND,Indiana,1629614,Andrew Nembhard,Andrew,G,,35.000000:36,118.5,120.3,132.9,134.7,-14.4,-14.4,0.111,0.75,20.0,0.061,0.026,0.042,26.7,0.375,0.415,0.135,0.136,101.88,100.45,83.71,74,0.006
0042400405,1610612754,IND,Indiana,1630169,Tyrese Haliburton,Tyrese,G,,34.000000:09,109.5,109.9,123.7,128.2,-14.2,-18.3,0.231,2.0,35.3,0.029,0.14,0.091,17.6,0.0,0.258,0.128,0.129,101.76,99.8,83.16,71,0.032
0042400405,1610612754,IND,Indiana,1630167,Obi Toppin,Obi,,,21.000000:40,93.3,93.5,129.7,128.3,-36.4,-34.8,0.083,1.0,7.1,0.038,0.115,0.077,7.1,0.5,0.505,0.224,0.232,101.44,101.92,84.94,46,0.127
0042400405,1610612754,IND,Indiana,1641767,Ben Sheppard,Ben,,,6.000000:00,36.8,36.4,91.9,90.9,-55.1,-54.5,0.5,1.0,50.0,0.0,0.167,0.077,50.0,0.0,0.0,0.083,0.084,87.04,88.0,73.33,11,0.077
0042400405,1610612754,IND,Indiana,204456,T.J. McConnell,T.J.,,,21.000000:58,100.6,104.4,99.6,93.5,1.0,11.0,0.444,1.33,19.0,0.0,0.148,0.075,14.3,0.607,0.623,0.304,0.311,98.2,99.42,82.85,45,0.234
0042400405,1610612754,IND,Indiana,1631097,Bennedict Mathurin,Bennedict,,,22.000000:12,107.5,108.9,99.4,93.5,8.1,15.4,0.067,1.0,6.7,0.222,0.063,0.136,6.7,0.227,0.274,0.237,0.247,96.09,98.38,81.98,45,0.0
0042400405,1610612754,IND,Indiana,1628396,Tony Bradley,Tony,,,12.000000:16,109.7,103.7,100.2,100.0,9.6,3.7,0.0,0.0,0.0,0.105,0.1,0.103,25.0,0.5,0.694,0.108,0.116,100.72,103.7,86.41,27,0.048
0042400405,1610612754,IND,Indiana,1642277,Johnny Furphy,Johnny,,,1.000000:51,58.1,66.7,0.0,0.0,58.1,66.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.694,0.333,0.291,83.55,90.81,75.68,3,0.5
0042400405,1610612754,IND,Indiana,1628418,Thomas Bryant,Thomas,,,1.000000:51,58.1,66.7,0.0,0.0,58.1,66.7,1.0,0.0,100.0,0.0,0.333,0.2,0.0,0.0,0.0,0.0,0.0,83.55,90.81,75.68,3,1.0
0042400405,1610612754,IND,Indiana,1630543,Isaiah Jackson,Isaiah,,DND - Injury/Illness,,,0.0,,0.0,,0.0,,,,0.0,0.0,0.0,,,,0.0,0.0,,,,0,
