,GRID_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,FGA,FGM,FG_PCT
98,League Averages,Left Corner 3,Left Side(L),24+ ft.,10,10,1.0
99,League Averages,Mid-Range,Center(C),8-16 ft.,2,2,1.0
100,League Averages,Mid-Range,Left Side(L),8-16 ft.,4,4,1.0
101,League Averages,Mid-Range,Right Side Center(RC),16-24 ft.,3,3,1.0
102,League Averages,Restricted Area,Center(C),Less Than 8 ft.,32,32,1.0
103,League Averages,Right Corner 3,Right Side(R),24+ ft.,3,3,1.0
104,League Averages,Above the Break 3,Center(C),24+ ft.,3,3,1.0
105,League Averages,Above the Break 3,Left Side Center(LC),24+ ft.,7,7,1.0
106,League Averages,Above the Break 3,Right Side Center(RC),24+ ft.,6,6,1.0
107,League Averages,In The Paint (Non-RA),Center(C),8-16 ft.,3,3,1.0
108,League Averages,In The Paint (Non-RA),Center(C),Less Than 8 ft.,3,3,1.0
109,League Averages,In The Paint (Non-RA),Left Side(L),8-16 ft.,1,1,1.0
110,League Averages,In The Paint (Non-RA),Right Side(R),8-16 ft.,1,1,1.0
111,League Averages,Left Corner 3,Left Side(L),24+ ft.,10,10,1.0
112,League Averages,Mid-Range,Center(C),8-16 ft.,2,2,1.0
113,League Averages,Mid-Range,Left Side(L),8-16 ft.,4,4,1.0
114,League Averages,Mid-Range,Right Side Center(RC),16-24 ft.,3,3,1.0
115,League Averages,Restricted Area,Center(C),Less Than 8 ft.,32,32,1.0
116,League Averages,Right Corner 3,Right Side(R),24+ ft.,3,3,1.0
117,League Averages,Above the Break 3,Center(C),24+ ft.,3,3,1.0
118,League Averages,Above the Break 3,Left Side Center(LC),24+ ft.,7,7,1.0
119,League Averages,Above the Break 3,Right Side Center(RC),24+ ft.,6,6,1.0
120,League Averages,In The Paint (Non-RA),Center(C),8-16 ft.,3,3,1.0
121,League Averages,In The Paint (Non-RA),Center(C),Less Than 8 ft.,3,3,1.0
122,League Averages,In The Paint (Non-RA),Left Side(L),8-16 ft.,1,1,1.0
123,League Averages,In The Paint (Non-RA),Right Side(R),8-16 ft.,1,1,1.0
124,League Averages,Left Corner 3,Left Side(L),24+ ft.,10,10,1.0
125,League Averages,Mid-Range,Center(C),8-16 ft.,2,2,1.0
126,League Averages,Mid-Range,Left Side(L),8-16 ft.,4,4,1.0
127,League Averages,Mid-Range,Right Side Center(RC),16-24 ft.,3,3,1.0
128,League Averages,Restricted Area,Center(C),Less Than 8 ft.,32,32,1.0
129,League Averages,Right Corner 3,Right Side(R),24+ ft.,3,3,1.0
130,League Averages,Above the Break 3,Center(C),24+ ft.,3,3,1.0
131,League Averages,Above the Break 3,Left Side Center(LC),24+ ft.,7,7,1.0
132,League Averages,Above the Break 3,Right Side Center(RC),24+ ft.,6,6,1.0
133,League Averages,In The Paint (Non-RA),Center(C),8-16 ft.,3,3,1.0
134,League Averages,In The Paint (Non-RA),Center(C),Less Than 8 ft.,3,3,1.0
135,League Averages,In The Paint (Non-RA),Left Side(L),8-16 ft.,1,1,1.0
136,League Averages,In The Paint (Non-RA),Right Side(R),8-16 ft.,1,1,1.0
137,League Averages,Left Corner 3,Left Side(L),24+ ft.,10,10,1.0
138,League Averages,Mid-Range,Center(C),8-16 ft.,2,2,1.0
139,League Averages,Mid-Range,Left Side(L),8-16 ft.,4,4,1.0
140,League Averages,Mid-Range,Right Side Center(RC),16-24 ft.,3,3,1.0
141,League Averages,Restricted Area,Center(C),Less Than 8 ft.,32,32,1.0
142,League Averages,Right Corner 3,Right Side(R),24+ ft.,3,3,1.0
143,League Averages,Above the Break 3,Center(C),24+ ft.,3,3,1.0
144,League Averages,Above the Break 3,Left Side Center(LC),24+ ft.,7,7,1.0
145,League Averages,Above the Break 3,Right Side Center(RC),24+ ft.,6,6,1.0
146,League Averages,In The Paint (Non-RA),Center(C),8-16 ft.,3,3,1.0
147,League Averages,In The Paint (Non-RA),Center(C),Less Than 8 ft.,3,3,1.0
148,League Averages,In The Paint (Non-RA),Left Side(L),8-16 ft.,1,1,1.0
149,League Averages,In The Paint (Non-RA),Right Side(R),8-16 ft.,1,1,1.0
150,League Averages,Left Corner 3,Left Side(L),24+ ft.,10,10,1.0
151,League Averages,Mid-Range,Center(C),8-16 ft.,2,2,1.0
152,League Averages,Mid-Range,Left Side(L),8-16 ft.,4,4,1.0
153,League Averages,Mid-Range,Right Side Center(RC),16-24 ft.,3,3,1.0
154,League Averages,Restricted Area,Center(C),Less Than 8 ft.,32,32,1.0
155,League Averages,Right Corner 3,Right Side(R),24+ ft.,3,3,1.0
156,League Averages,Above the Break 3,Center(C),24+ ft.,3,3,1.0
