GAME_ID,TEAM_ID,TEAM_ABBREVIATION,TEAM_CITY,PLAYER_ID,PLAYER_NAME,NICKNAME,START_POSITION,COMMENT,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,PLUS_MINUS
0042400406,1610612760,OKC,Oklahoma City,1631114,Jalen Williams,Jalen,F,,26.000000:51,6.0,13.0,0.462,0.0,4.0,0.0,4.0,5.0,0.8,0.0,3.0,3.0,1.0,0.0,0.0,3.0,2.0,16.0,-40.0
0042400406,1610612760,OKC,Oklahoma City,1631096,Chet Holmgren,Chet,F,,24.000000:08,2.0,9.0,0.222,0.0,3.0,0.0,0.0,0.0,0.0,1.0,5.0,6.0,0.0,0.0,0.0,2.0,2.0,4.0,-11.0
0042400406,1610612760,OKC,Oklahoma City,1628392,Isaiah Hartenstein,Isaiah,C,,16.000000:03,3.0,4.0,0.75,0.0,0.0,0.0,4.0,4.0,1.0,2.0,2.0,4.0,1.0,1.0,1.0,0.0,2.0,10.0,-12.0
0042400406,1610612760,OKC,Oklahoma City,1629652,Luguentz Dort,Luguentz,G,,20.000000:55,1.0,5.0,0.2,1.0,5.0,0.2,0.0,0.0,0.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,3.0,3.0,-28.0
0042400406,1610612760,OKC,Oklahoma City,1628983,Shai Gilgeous-Alexander,Shai,G,,30.000000:56,7.0,15.0,0.467,0.0,1.0,0.0,7.0,8.0,0.875,0.0,4.0,4.0,2.0,0.0,0.0,8.0,2.0,21.0,-17.0
0042400406,1610612760,OKC,Oklahoma City,1627936,Alex Caruso,Alex,,,22.000000:00,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,2.0,0.0,1.0,1.0,1.0,0.0,-33.0
0042400406,1610612760,OKC,Oklahoma City,1630598,Aaron Wiggins,Aaron,,,17.000000:53,1.0,4.0,0.25,1.0,4.0,0.25,2.0,2.0,1.0,0.0,2.0,2.0,1.0,1.0,1.0,3.0,2.0,5.0,-3.0
0042400406,1610612760,OKC,Oklahoma City,1641717,Cason Wallace,Cason,,,13.000000:56,1.0,4.0,0.25,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,1.0,0.0,0.0,2.0,2.0,-3.0
0042400406,1610612760,OKC,Oklahoma City,1629026,Kenrich Williams,Kenrich,,,18.000000:06,1.0,2.0,0.5,1.0,2.0,0.5,0.0,2.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,3.0,9.0
0042400406,1610612760,OKC,Oklahoma City,1630198,Isaiah Joe,Isaiah,,,14.000000:51,3.0,4.0,0.75,2.0,3.0,0.667,3.0,3.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,11.0,12.0
0042400406,1610612760,OKC,Oklahoma City,1642349,Ajay Mitchell,Ajay,,,12.000000:00,1.0,4.0,0.25,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,4.0,0.0,0.0,2.0,0.0,2.0,13.0
0042400406,1610612760,OKC,Oklahoma City,1631119,Jaylin Williams,Jaylin,,,12.000000:00,2.0,3.0,0.667,2.0,3.0,0.667,1.0,2.0,0.5,0.0,5.0,5.0,1.0,1.0,0.0,0.0,2.0,7.0,13.0
0042400406,1610612760,OKC,Oklahoma City,1641794,Dillon Jones,Dillon,,,7.000000:17,2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,1.0,0.0,0.0,1.0,1.0,4.0,9.0
0042400406,1610612760,OKC,Oklahoma City,1631172,Ousmane Dieng,Ousmane,,,3.000000:04,1.0,3.0,0.333,1.0,2.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,6.0
0042400406,1610612754,IND,Indiana,1630174,Aaron Nesmith,Aaron,F,,25.000000:10,3.0,8.0,0.375,2.0,6.0,0.333,2.0,3.0,0.667,0.0,2.0,2.0,3.0,1.0,1.0,1.0,4.0,10.0,24.0
0042400406,1610612754,IND,Indiana,1627783,Pascal Siakam,Pascal,F,,32.000000:02,6.0,14.0,0.429,1.0,3.0,0.333,3.0,3.0,1.0,5.0,8.0,13.0,3.0,0.0,1.0,1.0,2.0,16.0,13.0
0042400406,1610612754,IND,Indiana,1626167,Myles Turner,Myles,C,,26.000000:09,1.0,9.0,0.111,0.0,3.0,0.0,1.0,2.0,0.5,1.0,3.0,4.0,1.0,0.0,2.0,1.0,2.0,3.0,19.0
0042400406,1610612754,IND,Indiana,1629614,Andrew Nembhard,Andrew,G,,31.000000:06,5.0,7.0,0.714,3.0,5.0,0.6,4.0,4.0,1.0,0.0,0.0,0.0,4.0,3.0,0.0,1.0,2.0,17.0,19.0
0042400406,1610612754,IND,Indiana,1630169,Tyrese Haliburton,Tyrese,G,,22.000000:53,5.0,12.0,0.417,3.0,7.0,0.429,1.0,1.0,1.0,0.0,1.0,1.0,5.0,2.0,0.0,1.0,1.0,14.0,25.0
0042400406,1610612754,IND,Indiana,1630167,Obi Toppin,Obi,,,23.000000:10,6.0,12.0,0.5,4.0,7.0,0.571,4.0,6.0,0.667,0.0,6.0,6.0,0.0,2.0,0.0,1.0,2.0,20.0,8.0
0042400406,1610612754,IND,Indiana,204456,T.J. McConnell,T.J.,,,24.000000:07,6.0,12.0,0.5,0.0,0.0,0.0,0.0,2.0,0.0,1.0,8.0,9.0,6.0,4.0,0.0,3.0,2.0,12.0,10.0
0042400406,1610612754,IND,Indiana,1641767,Ben Sheppard,Ben,,,20.000000:44,3.0,7.0,0.429,1.0,4.0,0.25,0.0,0.0,0.0,1.0,4.0,5.0,0.0,2.0,0.0,0.0,2.0,7.0,-1.0
0042400406,1610612754,IND,Indiana,1631097,Bennedict Mathurin,Bennedict,,,14.000000:16,1.0,6.0,0.167,0.0,5.0,0.0,0.0,0.0,0.0,1.0,3.0,4.0,1.0,2.0,1.0,0.0,0.0,2.0,-18.0
0042400406,1610612754,IND,Indiana,1628396,Tony Bradley,Tony,,,6.000000:02,1.0,2.0,0.5,0.0,0.0,0.0,1.0,2.0,0.5,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,3.0,7.0
