,GAME_ID,TEAM_ID,TEAM_NAME,TEAM_ABBREVIATION,TEAM_CITY,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,PLUS_MINUS
0,0042400401,1610612760,Thunder,OKC,Oklahoma City,240.000000:00,39,98,0.398,11,30,0.367,21,24,0.875,10,29,39,13,14,6,6,19,110,-1.0
1,0042400401,1610612754,Pacers,IND,Indiana,240.000000:00,39,82,0.476,18,39,0.462,15,21,0.714,13,43,56,24,1,7,24,22,111,1.0
